[2024-09-09 10:28:05] | [ERROR] | Main:45 --> Bot token is empty! Please insert token in configs/config.toml!
java.lang.Exception: Bot token is empty! Please insert token in configs/config.toml!
	at kiinse.dev.telegram.Main.main(Main.java:31)
[2024-09-09 10:28:10] | [ERROR] | Main:45 --> Bot token is empty! Please insert token in configs/config.toml!
java.lang.Exception: Bot token is empty! Please insert token in configs/config.toml!
	at kiinse.dev.telegram.Main.main(Main.java:31)
[2024-09-09 10:29:10] | [INFO ] | Main:35 --> Registered command: StartCommand
[2024-09-09 10:29:10] | [INFO ] | Main:35 --> Registered command: ChatIdCommand
[2024-09-09 10:29:11] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 10:32:19] | [INFO ] | Main:35 --> Registered command: StartCommand
[2024-09-09 10:32:19] | [INFO ] | Main:35 --> Registered command: ChatIdCommand
[2024-09-09 10:32:20] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 10:32:55] | [INFO ] | Main:35 --> Registered command: StartCommand
[2024-09-09 10:32:55] | [INFO ] | Main:35 --> Registered command: ChatIdCommand
[2024-09-09 10:32:55] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 10:32:55] | [ERROR] | Main:43 --> Error on starting bot
org.telegram.telegrambots.meta.exceptions.TelegramApiException: App is already running
	at org.telegram.telegrambots.longpolling.TelegramBotsLongPollingApplication.start(TelegramBotsLongPollingApplication.java:106)
	at kiinse.dev.telegram.Main.main(Main.java:41)
[2024-09-09 10:34:02] | [INFO ] | Main:29 --> Starting Telegram bot...
[2024-09-09 10:34:02] | [INFO ] | Main:30 --> Debug: true
[2024-09-09 10:34:02] | [INFO ] | Main:37 --> Registered command: StartCommand
[2024-09-09 10:34:02] | [INFO ] | Main:37 --> Registered command: ChatIdCommand
[2024-09-09 10:34:02] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 10:34:02] | [INFO ] | Main:46 --> Telegram bot started!
[2024-09-09 10:41:24] | [INFO ] | Main:29 --> Starting Telegram bot...
[2024-09-09 10:41:24] | [INFO ] | Main:30 --> Debug: true
[2024-09-09 10:41:24] | [INFO ] | Main:37 --> Registered command: StartCommand
[2024-09-09 10:41:24] | [INFO ] | Main:37 --> Registered command: ChatIdCommand
[2024-09-09 10:41:24] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 10:41:24] | [INFO ] | Main:42 --> Telegram bot started!
[2024-09-09 10:41:24] | [INFO ] | Bot:37 --> Received new update! ChatId: 327614944
[2024-09-09 10:41:24] | [INFO ] | StartCommand:28 --> Sending start message to 327614944
[2024-09-09 10:41:25] | [INFO ] | Bot:37 --> Received new update! ChatId: 327614944
[2024-09-09 10:41:25] | [INFO ] | ChatIDCommand:25 --> Sending chat id to 327614944
[2024-09-09 10:41:25] | [INFO ] | Bot:37 --> Received new update! ChatId: 327614944
[2024-09-09 10:41:25] | [INFO ] | StartCommand:28 --> Sending start message to 327614944
[2024-09-09 10:41:25] | [INFO ] | Bot:37 --> Received new update! ChatId: 327614944
[2024-09-09 10:41:25] | [INFO ] | StartCommand:28 --> Sending start message to 327614944
[2024-09-09 10:41:28] | [INFO ] | Bot:37 --> Received new update! ChatId: 327614944
[2024-09-09 10:41:28] | [INFO ] | ChatIDCommand:25 --> Sending chat id to 327614944
[2024-09-09 10:41:31] | [INFO ] | Bot:37 --> Received new update! ChatId: 327614944
[2024-09-09 10:41:31] | [INFO ] | StartCommand:28 --> Sending start message to 327614944
[2024-09-09 11:44:09] | [INFO ] | Main:36 --> Starting Telegram bot...
[2024-09-09 11:44:09] | [INFO ] | Main:37 --> Debug: true
[2024-09-09 11:44:09] | [INFO ] | Main:44 --> Registered command: StartCommand
[2024-09-09 11:44:09] | [INFO ] | Main:44 --> Registered command: ChatIdCommand
[2024-09-09 11:44:09] | [INFO ] | Main:44 --> Registered command: SendComplaintCommand
[2024-09-09 11:44:09] | [INFO ] | Main:44 --> Registered command: ViewComplaintCommand
[2024-09-09 11:44:09] | [INFO ] | Main:44 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 11:44:09] | [INFO ] | Main:44 --> Registered command: RemoveComplaintCommand
[2024-09-09 11:44:10] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 11:44:10] | [INFO ] | Main:55 --> Telegram bot started!
[2024-09-09 11:44:19] | [INFO ] | Bot:56 --> Received new update! ChatId: 327614944
[2024-09-09 11:44:19] | [INFO ] | StartCommand:40 --> Executing StartCommand to 327614944
[2024-09-09 11:44:21] | [INFO ] | Bot:56 --> Received new update! ChatId: 327614944
[2024-09-09 11:44:21] | [INFO ] | SelectDistrictCommand:35 --> Executing SelectDistrictCommand to 327614944
[2024-09-09 11:44:32] | [INFO ] | Bot:56 --> Received new update! ChatId: 327614944
[2024-09-09 11:44:32] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 11:44:38] | [INFO ] | Bot:56 --> Received new update! ChatId: 327614944
[2024-09-09 11:44:38] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:15:59] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:15:59] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:15:59] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:15:59] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1914}] to mdb.kiinse.dev:27017
[2024-09-09 13:15:59] | [INFO ] | cluster:71 --> Monitor thread successfully connected to server with description ServerDescription{address=mdb.kiinse.dev:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[6, 0, 2]}, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14532250}
[2024-09-09 13:15:59] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:2, serverValue:1915}] to mdb.kiinse.dev:27017
[2024-09-09 13:15:59] | [INFO ] | MongoDB:67 --> Collection 'admins' has been created!
[2024-09-09 13:15:59] | [INFO ] | MongoDB:67 --> Collection 'complaints' has been created!
[2024-09-09 13:15:59] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:15:59] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:15:59] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:15:59] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
[2024-09-09 13:16:00] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:16:00] | [INFO ] | Main:62 --> Telegram bot started!
[2024-09-09 13:16:57] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:16:57] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:16:57] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:16:57] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1917}] to mdb.kiinse.dev:27017
[2024-09-09 13:16:57] | [INFO ] | cluster:71 --> Monitor thread successfully connected to server with description ServerDescription{address=mdb.kiinse.dev:27017, type=STANDALONE, state=CONNECTED, ok=true, version=ServerVersion{versionList=[6, 0, 2]}, minWireVersion=0, maxWireVersion=17, maxDocumentSize=16777216, logicalSessionTimeoutMinutes=30, roundTripTimeNanos=14732208}
[2024-09-09 13:16:57] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:2, serverValue:1918}] to mdb.kiinse.dev:27017
[2024-09-09 13:16:57] | [INFO ] | MongoDB:67 --> Collection 'users' has been created!
[2024-09-09 13:16:57] | [INFO ] | MongoDB:56 --> Database connected!
[2024-09-09 13:16:57] | [INFO ] | Main:43 --> Starting Telegram bot...
[2024-09-09 13:16:57] | [INFO ] | Main:44 --> Debug: true
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: StartCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: ChatIdCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: SendComplaintCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: ViewComplaintCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: ViewComplaintAdminCommand
[2024-09-09 13:16:57] | [INFO ] | Main:51 --> Registered command: RemoveComplaintCommand
[2024-09-09 13:16:58] | [INFO ] | BotSession:171 --> Result when calling deleteWebhook: true
[2024-09-09 13:16:58] | [INFO ] | Main:62 --> Telegram bot started!
[2024-09-09 13:17:16] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:17:16] | [INFO ] | StartCommand:40 --> Executing StartCommand to 327614944
[2024-09-09 13:17:41] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:17:41] | [INFO ] | SelectDistrictCommand:35 --> Executing SelectDistrictCommand to 327614944
[2024-09-09 13:18:38] | [INFO ] | Bot:57 --> Received new update! ChatId: 327614944
[2024-09-09 13:18:38] | [INFO ] | SaveComplaintCommand:33 --> Executing SaveComplaintCommand to 327614944
[2024-09-09 13:19:51] | [INFO ] | MongoDB:33 --> Connecting to database...
[2024-09-09 13:19:51] | [INFO ] | cluster:71 --> Cluster created with settings {hosts=[mdb.kiinse.dev:27017], mode=SINGLE, requiredClusterType=UNKNOWN, serverSelectionTimeout='30000 ms', maxWaitQueueSize=500}
[2024-09-09 13:19:51] | [INFO ] | cluster:71 --> Cluster description not yet available. Waiting for 30000 ms before timing out
[2024-09-09 13:19:51] | [INFO ] | connection:71 --> Opened connection [connectionId{localValue:1, serverValue:1919}] to mdb.kiinse.dev:27017
